10,24,25,4,28,10,25,7,9,24,9,24,19,26,1,19,10
27,2,39,22,5,34,33,10,9,10,11,22,4,34,20,28,8
9,17,2,26,32,28,5,11,2,6,13,23,22,2,7,22,13
39,37,38,18,24,27,8,15,10,15,14,18,10,12,18,6,8
15,36,38,14,12,28,18,32,13,18,16,17,22,17,9,32,7
4,7,38,6,18,18,37,5,31,2,34,24,7,16,34,8,4
12,32,5,20,13,33,31,28,16,10,10,1,23,14,7,3,6
25,3,21,28,26,26,22,16,8,1,12,20,8,8,12,30,12
9,23,20,25,1,33,16,18,1,32,32,9,17,7,3,15,2
6,24,36,3,16,11,25,2,32,12,13,4,26,15,15,4,11
31,19,7,30,32,17,8,20,4,16,21,24,10,5,17,27,3
25,23,13,12,6,5,14,21,10,5,6,15,24,6,1,11,7
3,10,18,17,18,30,39,23,2,12,12,6,2,9,13,16,9
9,36,6,37,17,37,24,28,27,33,7,2,31,15,13,2,9
38,18,18,31,38,35,27,14,14,5,14,15,18,31,1,6,7
2,28,4,12,37,39,5,12,29,20,15,18,9,16,12,13,8
1,12,4,33,17,10,14,27,8,19,19,9,11,32,18,26,3
39,17,38,8,38,35,34,4,22,31,12,19,9,6,15,2,12
34,21,36,23,9,23,10,31,6,16,18,33,26,2,19,8,4
17,13,28,8,16,12,32,11,23,17,3,13,31,27,27,3,4
13,9,13,35,23,9,2,29,13,8,5,19,22,12,10,16,8
18,4,14,4,2,17,16,24,29,3,26,12,28,28,22,33,8
22,34,28,12,25,12,20,3,5,29,29,28,21,5,14,15,8
23,20,34,4,21,30,28,4,20,9,24,9,12,16,4,5,8
25,38,20,27,1,22,29,10,19,14,33,1,10,30,34,3,6
27,31,22,32,33,21,35,26,23,25,29,30,18,7,32,23,10
14,8,15,25,15,23,23,33,20,31,13,32,24,13,33,6,5
22,22,20,13,33,38,26,13,13,7,12,27,11,34,10,21,10
36,28,35,25,38,23,18,11,32,25,34,4,18,32,8,8,13
6,8,1,7,1,6,4,31,29,22,5,23,14,29,27,18,4
15,3,26,15,11,9,19,25,22,5,33,2,1,25,23,14,10
26,9,30,30,8,21,21,27,10,23,13,5,31,25,10,7,6
31,33,2,17,8,27,3,1,17,18,14,9,5,13,21,20,13
6,22,32,12,4,24,1,6,23,2,9,22,23,2,27,3,6
12,4,13,10,23,39,27,34,15,23,6,18,31,1,29,29,5
11,20,5,19,33,11,18,20,1,31,27,30,23,6,13,27,7
14,1,19,22,13,19,20,16,17,7,30,4,3,26,33,24,5
20,11,24,6,21,15,37,15,9,21,32,1,15,28,25,27,13
7,21,13,7,4,15,13,18,20,1,28,5,4,16,2,29,9
38,10,23,4,12,13,22,15,27,26,31,17,18,29,21,11,6
25,16,14,36,32,29,19,19,6,6,20,3,5,15,27,21,12
14,8,9,14,18,16,1,33,24,17,25,14,1,17,24,6,1
11,6,20,25,11,15,11,7,27,6,2,19,24,13,31,11,9
11,32,22,3,3,22,21,14,21,22,7,15,20,15,6,11,5
38,14,31,35,34,9,36,34,19,28,34,26,27,23,13,9,6
25,17,28,18,8,34,15,1,23,4,27,28,30,24,12,33,11
29,37,7,37,33,19,26,10,24,12,7,8,1,15,3,2,10
26,12,6,9,34,22,3,5,10,22,34,3,33,27,2,23,5
11,30,17,31,8,27,26,14,27,30,3,12,27,29,6,20,2
6,15,29,31,24,19,17,22,14,23,6,5,26,24,33,2,8
