0	2	1.00909090909091
0	3	1.03954214360042
0	4	1.08116883116883
0	5	1.22576687116564
0	6	1.45839416058394
0	7	1.68465430016863
0	8	1.92485549132948
0	9	2.87896253602306
0	10	3.88715953307393
1	3	1.03309203722854
1	4	1.09180327868852
1	5	1.20072115384615
1	6	1.37225274725275
1	7	1.66500000000000
1	8	1.97041420118343
1	9	2.64986737400531
1	10	3.90234375000000
2	4	1.08823529411765
2	5	1.18224852071006
2	6	1.35918367346939
2	7	1.63235294117647
2	8	1.97041420118343
2	9	2.60156250000000
2	10	3.42123287671233
3	5	1.20798065296252
3	6	1.33200000000000
3	7	1.56338028169014
3	8	1.99003984063745
3	9	2.50375939849624
3	10	3.18152866242038
4	6	1.33022636484687
4	7	1.55124223602484
4	8	1.83977900552486
4	9	2.34507042253521
4	10	3.27540983606557
5	7	1.49550898203593
5	8	1.70477815699659
5	9	2.13918629550321
5	10	2.96439169139466
6	8	1.70769230769231
6	9	2.11652542372881
6	10	2.66400000000000
7	9	1.97821782178218
7	10	2.55498721227622
